st,type 
LOL,Other
PART,Other
wasup room 19 m md,Other
just knocked her out,Statement
PART,Other
hi 11-08-20sUser104,Other
What happened?,whQuestion
.ACTION licks 10-19-20sUser92's neck.,Other
PART,Other
JOIN,Other
JOIN,Other
im boed,Statement
nirvana,Statement
hi 11-08-40sUser57,Other
too much drama,Statement
oi oi oi,Other
PART,Other
"Oh, sorry, 11-09-40sUser52...didn't see ya",Statement
I'm a born-again virgin.,Statement
.ACTION isnt falling for that one again.,Other
.i always liked necromancers..,Statement
JOIN,Other
hey 11-06-adultsUser115,Other
JOIN,Other
"chatting, but insome chats people just simply ...babble nonsense or are cyberin' thru the pm's.....lol",Statement
PART,Other
UnScramble: onuimso,Other
wow,Statement
hello,Other
why is everyone askin me!!!,whQuestion
damn,Other
WHY WOULD ANY ONE WANNA TALK TO A LONLEY ASS GIRL WHEN THERES TWO HOTT BLONDES RIGHT HERE!!,whQuestion
!20,Other
how r u today?,whQuestion
hello roomies,Other
JOIN,Other
kill em all,Statement
long as it takes to go to the store 11-09-40sUser18,Statement
hi 10-19-30sUser36 ,Other
PART,Other
(((((((((((((((((10-24-40sUser57)))))))))))))))))))))),Other
lol,Other
JOIN,Other
lol,Other
no i meant yr propper eng for saying that,Other
hiya 10-19-40sUser30,Other
I caught Mono from a friends drink lol,Statement
hey 11-06-adultsUser37,Other
PART,Other
nah,Other
hey wait until their teenagers,Statement
When did the party end?,whQuestion
JOIN,Other
11-09-40sUser7....only when we wear them for a week at a time,Statement
what an f-ing party!!...yeah!!,Other
how do you know 10-19-adultsUser35,whQuestion
hey 11-09-20sUser103,Other
LMAO @ 11-08-adultsUser65 ,Other
no cam?,ynQuestion
"18 m il, girls pm me",Statement
How effective were you?,whQuestion
10-24-40sUser52,Statement
 .Temp. 70%    ,Other
lmao,Other
JOIN,Other
Ummm are you taking anything else with it 11-08-adultsUser56?,ynQuestion
I have good timing I guess,Statement
..6(((.3 11-09-adultsUser29 .6))),Other
thanks 10-24-40sUser16,Statement
awww 11-08-adultsUser3 you know i lubbs ya honey :),Statement
haha,Other
hi 10-24-40sUser31,Other
me either ,Statement
cold Bud,Statement
How would you define a good job in your line of work?,whQuestion
Please describe it.,whQuestion
thank you,Statement
Where it will point nobody knows ....,Statement
PART,Other
Are we seeing a play tomorrow?,ynQuestion
 SLEEP...over not sex night...simular but not hehe,Statement
are u pedofile,ynQuestion
JOIN,Other
 .Sunrise59 AM AKDT .Set10 PM AKDT .Length. 6m 43s shorter,Other
hi 11-09-40sUser34,Other
Hi 10-24-40sUser52,Other
i hate you 10-19-20sUser68. does that mean I want you?,ynQuestion
hello hun,Other
whats balck and white and red all over?,whQuestion
Tell me about a time your effort helped carry out some project or idea.,whQuestion
ahh ok,Other
hi 11-08-40sUser63,Other
((((((((((((((No more PmS )))))))))))))))))))))))))))),Statement
What are some of the most important documents you have written?,whQuestion
i wont get married,Statement
PART,Other
i really like ladies but some guys are to hot to pass by..it's about control i guess...and it doesn't help that i m european,Statement
hi 11-08-40sUser65,Other
.3(((((..6 11-09-adultsUser72 ..3))))),Other
JOIN,Other
bbl maybe,Other
PART,Other
we like MD .... its progressive without being too maniacal,Statement
hi 11-09-40sUser22,Other
hi 10-24-40sUser54,Other
"wb 11-08-40sUser2 ,, 11-08-40sUser34",Other
27 male maryland,Statement
She was a bitch too ,Statement
hey y'all,Other
PART,Other
PART,Other
.ACTION pms 11-09-teensUser197......as soon as she finds his name on the list.,Other
hey people who talk to me. i shall return in a bit,Other
JOIN,Other
u want me,Statement
anyone from TX,ynQuestion
JOIN,Other
wut up 10-26-teensUser45,Other
hey 10-24-40sUser34!,Other
hes hawt too,Other
:11-09-teensUser98!11-09-teensUser98@11-09-teensUser98 MODE #14-19teens +o 11-09-teensUser98,Other
PART,Other
PART,Other
OK ..... Checked in ...... Now checkin out....... Niters all .......,Other
hi 10-24-40sUser40,Other
hi 11-08-adultsUser113,Other
PART,Other
lol,Other
hiya 11-09-40sUser33,Other
JOIN,Other
Hi  10-19-40sUser23   welcome to room also  10-19-40sUser27 ,Other
i don't either.. but i do like that $27/hr lol,Statement
PART,Other
hi,Other
11-06-adultsUser53 has a big nose,Statement
"11-08-40sUser24,,,,""whatca talkin bout willis""",Statement
"can't 10-19-40sUser52, have a family reunion that Saturday",Other
lol,Other
and 11-08-20sUser31 is a good on her kneez.. i guess..lol,Statement
hi 11-08-40sUser60,Other
10-19-30sUser9...what's your preference?,whQuestion
"What is the most significant written document, report, or presentation that you have completed?",whQuestion
in out in out in out in out,Statement
How come she’s late?,whQuestion
cause he left one his own,Statement
lol 11-08-40sUser66,Other
JOIN,Other
hi 11-09-adultsUser72 :),Other
hi 10-19-20sUser64,Other
PART,Other
PART,Other
.wz 33982 ,Other
xD,Other
Only been there one time,Statement
naw 10-19-adultsUser23 im cheating on you with Jayse ,Other
.ACTION givs 11-08-20sUser65 cpr.,Other
hello does anyone wanna chat?,ynQuestion
"11-09-teensUser190, are you out of the drawers?",ynQuestion
11-06-adultsUser130,Statement
heyy 11-09-20sUser87,Other
JOIN,Other
lol,Other
lol,Other
me 3,Statement
I scare everyone. I am that pathetic. Kentucky,Statement
JOIN,Other
PART,Other
wOOt wOOt!!!,Other
hi 11-08-40sUser70,Other
.ACTION hehehe hahaha hehehe snort snort hahahaha .,Other
hi 10-24-40sUser19:-),Other
What personal performance standards do you set for yourself?,whQuestion
hi 10-24-40sUser6 huggss ,Other
sorry to hear that 10-19-40sUser52 .... hugs hon,Statement
lol ,Other
you got it 10-24-40sUser35,Other
hi 11-08-40sUser31,Other
AHAHHA,Other
PART,Other
lmao 10-24-40sUser13.......ya shore?,ynQuestion
lol,Other
How have you motivated your employees when salary incentives were not available?,whQuestion
hey room,Other
so yeah ,Statement
brb,Other
((((((((((((((((((10-24-40sUser33))))))))))))))))))),Other
PART,Other
wow...are you the 10-19-adultsUser39?,ynQuestion
"yeah... life, you know?",ynQuestion
 I think I will stay & hassle ya...,Statement
well i would be 11-09-20sUser41 but my table too dam low,Statement
11-09-teensUser120 pwns 11-09-teensUser2 with bare hands,Statement
JOIN,Other
I'm technologically impared,Statement
Now 11-09-20sUser114 you must dance with --> 11-09-20sUser43!!,Other
ty 10-19-30sUser42,Statement
!hug my sexy nana,Other
People are having trouble deciding whether or not they want to stay in this room,Statement
ono,Statement
need  some  sweet  loveing ,Statement
bye 10-19-adultsUser47,Other
hi ya 11-09-40sUser37,Other
i have!,Other
Is this a good restaurant?,ynQuestion
hey 10-24-40sUser19,Other
um ok,Other
hey everyone,Other
PART,Other
PART,Other
shorty lllllllliiiiiiiiiikeee mine,Other
lol,Other
hey 11-08-20sUser110 recovering well frm last night?,ynQuestion
"you don't eat you don't sleep you live on alcohol, what can i say",Statement
where is everyone at,whQuestion
hey 11-08-adultsUser95,Other
who has alzheimers?,whQuestion
hey all,Other
cool ,Statement
(((((((((( 11-06-adultsUser105 )))))))))),Other
Hey ,Other
JOIN,Other
JOIN,Other
PART,Other
!Whisper,Other
well....they've got me going to see a specialist this afternoon at 3:45 for MRIs,Statement
that was that guy Marvin Gay,Statement
PART,Other
gonna eat dinner,Statement
i luv life,Statement
PART,Other
he's 2 feet tall,Statement
lmao... wow... ,Other
miiiiiiiiiiiiinnnnnnnnnnneeeeeeeeee,Other
Uhh Ahh..............................Boyz II Men,Statement
Is 10-19-30sUser17 writing a book?,ynQuestion
JOIN,Other
love me.,Statement
wb 10-24-40sUser50,Other
PART,Other
Does she speak English?,ynQuestion
yes,Other
JOIN,Other
a baby in a microwave,Statement
hey 11-08-40sUser63,Other
:),Other
sits with 10-19-20sUser30,Statement
lol,Other
there ya go 10-19-20sUser7,Statement
PART,Other
hell no!,Other
11-09-40sUser21  very close ,Statement
I lived in PA once ,Statement
PART,Other
hi 11-06-adultsUser49,Other
omg this song is so gay,Statement
PART,Other
yes,Statement
"So is 10-19-30sUser25 girl gonna help me redraft my pro-se petition? I know, she despises ex prisoners?",ynQuestion
i don't recall - lmao,Statement
 (((((((((((11-08-40sUser24))))))))),Other
hey 11-08-adultsUser30,Other
10-26-teensUser58 you rule bro :),Statement
PART,Other
who did what to your eyes?,whQuestion
PART,Other
Can I just pop your ass?,ynQuestion
Okkkkkk hb 11-09-20sUser80.,Other
Hi  10-19-40sUser27   welcome all  2  of u,Other
rain on the scarecrow,Statement
hahah 10-19-20sUser83!,Other
JOIN,Other
hey,Other
 knock in in if so say hi tracey u ok ,Statement
The whole world? lol,ynQuestion
11-09-40sUser49.. i lived near aberdeen and edgewood for a year,Statement
Oh  toss it  out window  10-19-40sUser27 ,Statement
do ya think this nic will work?,ynQuestion
any randy girls in her????,ynQuestion
PART,Other
PART,Other
PART,Other
Hi 11-09-40sUser31,Other
 :-) ,Other
r u serious,ynQuestion
JOIN,Other
Has he returned from Mumbai?,ynQuestion
I did NOT,Other
 hows ya doing?,whQuestion
morning,Other
there's purple cabbage?,ynQuestion
11-09-40sUser19!!,Other
PART,Other
what?,whQuestion
is the sky purple?,ynQuestion
anyone can be bought if theres enuff money 10-19-20sUser83:),Statement
hey 11-08-adultsUser1,Other
JOIN,Other
Hi 10-24-40sUser50,Other
what was  alcopones nick name,whQuestion
hiya 11-09-adultsUser29,Other
what song,whQuestion
hey 10-19-30sUser28 and 10-19-30sUser39... welcome,Other
Im not stop it dont start,Statement
JOIN,Other
lucky 10-19-40sUser9 none was like the gayoholic congressman Foley.....,Statement
hmmmm was she singing Dixie lol,ynQuestion
can i talk with you,ynQuestion
kicks 10-24-40sUser37s computer,Statement
Lol,Other
tired of that too,Statement
"oh sorry tohear that 10-19-40sUser52, was just wondering, my sympathies",Statement
i second that 10-26-teensUser98,Other
.ACTION .Mp3. ..(..Chingy feat. Tyrese - Pullin Me Back .-...)... - S.M.R.<3.,Other
PART,Other
JOIN,Other
37 m wv,Statement
10-24-40sUser33 hiiii,Other
JOIN,Other
nice 10-19-30sUser11,Other
Hi 11-09-40sUser28 ,Other
not that I was aware of,Other
11-09-20sUser41?,ynQuestion
"just some categories in my book are blank, others are too full, lol",Statement
JOIN,Other
lol 11-06-adultsUser5,Other
lol,Other
...lets kill these bitches...,Statement
PART,Other
she work at shop  nbc?,ynQuestion
hey 11-08-adultsUser132,Other
YOu love my chocha,Statement
11-08-40sUser51 get a life,Statement
just surfing again tonight,Statement
like 11-09-adultsUser54,Other
JOIN,Other
JOIN,Other
PART,Other
so basically for 30 days you can rent out as many games as you want for free and for any console,Statement
Where it will point nobody knows ....,Statement
hi 11-08-20sUser21,Other
yeah you got a point there ....lol,Other
PART,Other
wb 10-24-40sUser41,Other
hiya 10-24-40sUser53,Other
"alright so its you,me,him,her,now,and yum",Statement
I've never seen: meyooky.,Other
Officer 11-09-20sUser114...on the ball as usual,Statement
i buy the natural,Statement
<empty>,Other
And I need to sit on something soft.,Other
awesome 11-09-20sUser40,Statement
Hi Everyone !!!   How is everyone today !!!!,Other
any Pa people here,ynQuestion
JOIN,Other
Hi 10-24-40sUser51,Other
JOIN,Other
hey 10-19-20sUser64,Other
JOIN,Other
i suck .45 barrel before pulling trigger,Statement
Why do people celebrate Thanksgiving?,whQuestion
.ACTION spins Lil Wyte ~ I know you Strapped.,Other
imagine that,Statement
look at the last name,Statement
lol hi 11-08-adultsUser65,Other
night 11-08-40sUser24,Other
true,Other
ive never seen so much red!!,Other
prays fo 11-09-adultsUser29s aunt,Statement
hi 10-19-30sUser11,Other
who 10-19-adultsUser23???,whQuestion
JOIN,Other
PART,Other
11-08-20sUser91 settle your love affairs hun!,Other
damn pmers,Statement
slam,Other
hey 11-09-teensUser104,Other
coexistence?,ynQuestion
JOIN,Other
PART,Other
LOL I have clinicals,Statement
PART,Other
hahaha 11-08-adultsUser28!,Other
ok 11-08-40sUser18...on to next subject...lol,Statement
ugh,Other
who 10-19-adultsUser59 Me?,whQuestion
whatever else it is to you people,Statement
lol,Other
11-09-20sUser156 you sexy thing,Statement
Do you live in Chicago?,ynQuestion
and horny right 10-19-30sUser28,Other
How did you try to solve it?,whQuestion
10-19-30sUser9 all around,Statement
yes,Other
sho will ,Statement
11-09-20sUser168 flashed me,Statement
lol 10-19-40sUser9,Other
.ACTION slaps 11-09-teensUser122 around a bit with a large trout.,Other
one in appleton,Statement
hi 10-19-40sUser53 ,Other
10-24-40sUser28! nice to see u at a decent hour,Statement
busy busy is good good,Statement
11-09-adultsUser100 what part of wv are you in?,whQuestion
HOW?!,whQuestion
me too,Statement
PART,Other
but can you tell if a man is good looking or not 10-24-40sUser16 ?,ynQuestion
and how do you make it 11-09-40sUser39??????? lol,whQuestion
LOL 11-08-adultsUser95 ,Other
lol 11-09-20sUser156,Other
right 11-08-40sUser55,Other
how can ya be in the innocent corner alone if we're in the corner naked? lol,whQuestion
hey 10-24-40sUser16,Other
were attracted or ARE attracted,ynQuestion
"Everyone, 10-19-adultsUser53",Statement
PART,Other
I need fake ID so I can get into an eighth grade classroom with a hot teacher,Statement
howdy,Other
i will call you 11-08-20sUser121@!,Other
.ACTION dances with 11-09-20sUser43.,Other
19 m fl,Statement
heeeey!,Other
11-08-20sUser21.. ewww,Other
.ACTION tosses 11-09-40sUser7 one his sox*.,Other
byeeee,Other
c'mear 10-19-adultsUser35,Statement
JOIN,Other
i think,Other
JOIN,Other
hb 10-19-30sUser2,Other
aww ,Other
PART,Other
Depends,Statement
i never get perved,Statement
PART,Other
kisses 11-09-20sUser34,Statement
bodies on the floor,Other
ok Im home sick so I baked cookies..........anyone want a choc/chip/butterscotch chip oatmeal cookie?,ynQuestion
((((((((((( 10-19-adultsUser23 )))))))))))))),Other
"hey everybody, ..now were all da sexi bois a/f/atl",Other
"all the polllution floating up on shore,,,,,,,,,,,",Statement
Same here,Other
Why did he stay?,whQuestion
you tart,Statement
hey 11-09-40sUser15 :),Other
noth sucks,Statement
Hay Girl !,Other
PART,Other
JOIN,Other
Oy! I'm so hungry!,Other
hello,Other
i keep makin' $$ for others so it must be 10-19-30sUser17... lol,Statement
hangin from the rafters,Statement
hi 10-19-30sUser37,Other
<cali guy here,Statement
ok 10-24-40sUser12,Other
=(,Other
hi 10-19-40sUser54,Other
.ACTION doin da misty mountain hop arround the room.,Other
Sure,Statement
as am i,Other
sowwy VVil and 10-19-20sUser36!,Statement
i'm bored,Statement
hi 10-24-40sUser36,Other
I'm about to ban all these holocaust names,Statement
.ACTION is listening to .Nickelback - Figured You Out. ...,Other
PART,Other
put on your jammies 11-08-40sUser75,Statement
